ID,Age,Gender,Marital_Status,Job_Role,Experience_Years,Monthly_Salary_INR,Working_Hours_per_Week,Commute_Time_Hours,Remote_Work,Stress_Level,Health_Issues,Company_Size,Department,Sleep_Hours,Physical_Activity_Hours_per_Week,Mental_Health_Leave_Taken,Manager_Support_Level,Work_Pressure_Level,Annual_Leaves_Taken,Work_Life_Balance,Family_Support_Level,Job_Satisfaction,Performance_Rating,Team_Size,Training_Opportunities,Gender_Bias_Experienced,Discrimination_Experienced,Burnout_Symptoms,Location
497,22,Female,Single,Intern,1.3,18241,28,0.8,No,Low,None,Large,Operations,7.2,3,No,Low,High,12,Medium,Medium,Medium,Average,21,Yes,No,Yes,Rarely,Pune
498,29,Female,Single,Developer,7.7,102271,46,2.3,Yes,Low,None,Large,Engineering,5.2,4,Yes,High,Medium,19,Low,Low,Low,Good,2,No,Yes,No,Sometimes,Mumbai
499,24,Female,Single,Developer,2.6,101887,48,1.5,Yes,Medium,None,Small,HR,5.7,5,Yes,Medium,High,15,Low,Medium,Medium,Average,17,No,Yes,Yes,Sometimes,Delhi
500,31,Male,Divorced,Designer,3.1,44352,45,2.9,Yes,Low,None,Large,HR,5,5,Yes,Low,High,9,Low,Medium,High,Average,14,No,No,No,Rarely,Bangalore
501,35,Male,Divorced,Designer,3.3,48778,50,0.5,No,Low,None,Large,Marketing,5.5,5,No,High,Medium,15,Medium,Medium,Low,Poor,32,Yes,No,No,Rarely,Kolkata
502,27,Female,Married,Analyst,3,56158,42,1.9,Yes,Medium,None,Medium,Operations,5,5,Yes,Medium,High,18,High,Low,High,Average,25,Yes,No,Yes,Sometimes,Bangalore
503,25,Other,Married,Intern,3.6,17972,31,3,Partial,Medium,None,Medium,HR,6,4,No,Low,Medium,16,Medium,Low,High,Average,47,Yes,Yes,No,Rarely,Bangalore
504,33,Male,Married,Designer,8.2,50497,43,0.7,No,Low,Migraine,Small,Operations,5.2,4,No,Medium,Medium,19,Medium,Medium,Low,Good,12,No,Yes,Yes,Rarely,Pune
505,25,Other,Divorced,Intern,3.6,19683,32,1.8,Partial,Medium,None,Medium,Operations,6.2,5,No,Medium,High,17,Low,Low,Medium,Average,9,No,Yes,Yes,Rarely,Mumbai
506,57,Other,Divorced,CEO,22.9,563345,70,1.2,Partial,High,Diabetes,Large,HR,5,1,No,Medium,High,17,High,High,Low,Good,32,Yes,No,Yes,Often,Hyderabad
507,35,Male,Single,Analyst,13.3,46192,45,1.5,No,High,Back Pain,Medium,Marketing,5.2,3,Yes,High,High,17,Low,Medium,Medium,Poor,11,Yes,No,Yes,Sometimes,Pune
508,25,Other,Divorced,Analyst,3.1,49802,40,2.2,Partial,Low,Migraine,Large,Marketing,5.2,5,No,Medium,High,8,Low,Medium,High,Good,18,No,No,No,Sometimes,Mumbai
509,30,Other,Single,Analyst,1.5,54200,45,0.9,Partial,Low,Migraine,Large,HR,5.5,5,Yes,Medium,Medium,12,Medium,Medium,Low,Excellent,16,Yes,Yes,Yes,Sometimes,Kolkata
510,28,Female,Married,Analyst,7.3,54335,41,0.8,No,Medium,None,Large,Engineering,5.5,4,No,Medium,Medium,9,Medium,Medium,Medium,Excellent,2,Yes,No,Yes,Sometimes,Hyderabad
511,24,Other,Single,Developer,4,99770,45,1.2,Partial,Low,Migraine,Small,Marketing,5.5,5,Yes,Low,Medium,12,Low,High,High,Poor,44,No,No,No,Sometimes,Hyderabad
512,22,Male,Divorced,Intern,0.7,18242,28,2.2,Partial,Medium,Migraine,Small,Marketing,6.7,4,Yes,High,Medium,20,High,Low,Medium,Poor,13,No,No,No,Rarely,Delhi
513,56,Female,Single,CEO,21.5,576317,63,2.7,Partial,High,Hypertension,Small,Engineering,5,1,Yes,High,High,18,High,High,Medium,Good,45,No,No,Yes,Often,Delhi
514,53,Female,Single,CEO,15.6,576656,65,0.6,No,High,Arthritis,Large,Marketing,5,2,No,High,Medium,11,High,Medium,Low,Poor,23,No,Yes,No,Often,Hyderabad
515,26,Female,Married,Analyst,2.6,57901,40,2.2,Yes,Medium,Migraine,Large,Engineering,5.7,5,Yes,Low,Medium,9,Medium,High,Low,Average,30,No,Yes,No,Sometimes,Delhi
516,29,Other,Single,Analyst,7.2,49984,41,1.4,No,Low,Migraine,Medium,HR,6.5,4,Yes,Medium,High,16,Medium,Medium,Medium,Average,27,Yes,No,Yes,Sometimes,Kolkata
517,33,Male,Married,Analyst,7.4,55776,45,1.1,Partial,Medium,Migraine,Small,Marketing,5.2,4,No,Medium,Medium,16,Low,Low,Low,Excellent,45,Yes,No,No,Sometimes,Pune
518,60,Male,Married,CEO,10.6,561466,63,0.7,Partial,High,Diabetes,Medium,Engineering,5,3,No,Medium,High,5,High,High,High,Average,47,No,Yes,No,Often,Kolkata
519,44,Male,Single,Manager,18.7,251556,54,2.6,Yes,High,Arthritis,Medium,Marketing,5,2,Yes,High,Medium,11,High,Low,Medium,Good,49,Yes,No,No,Often,Bangalore
520,25,Female,Single,Developer,1.3,86013,46,2,Partial,Low,Migraine,Large,Engineering,5.7,5,Yes,Low,High,6,High,High,Low,Poor,9,Yes,Yes,Yes,Sometimes,Delhi
521,35,Male,Single,Designer,13.6,42701,44,0.7,No,High,Diabetes,Large,Marketing,5.5,3,Yes,Medium,High,19,Low,Medium,Low,Excellent,35,Yes,Yes,No,Rarely,Kolkata
522,24,Other,Married,Developer,1,95053,43,0.7,Partial,Low,Migraine,Small,Marketing,5.5,5,No,Medium,Medium,8,Medium,Medium,Low,Average,30,No,No,No,Sometimes,Hyderabad
523,28,Other,Divorced,Analyst,3.4,59144,41,1.5,Partial,Medium,Migraine,Large,Marketing,6.2,5,Yes,Low,High,10,Medium,Medium,High,Average,23,Yes,Yes,No,Sometimes,Pune
524,41,Other,Divorced,Manager,14.7,229723,54,1.1,No,High,Arthritis,Small,Marketing,5,3,Yes,Low,High,6,Medium,Medium,High,Average,34,Yes,No,Yes,Often,Kolkata
525,20,Other,Divorced,Intern,0.2,17341,34,1.8,Partial,Low,None,Small,Marketing,6,5,Yes,Low,Medium,18,Medium,High,High,Good,39,No,No,Yes,Rarely,Bangalore
526,25,Female,Married,Intern,3.3,19371,31,1.1,No,Medium,None,Small,Operations,7.5,5,No,Medium,High,12,Medium,High,High,Good,9,No,No,Yes,Rarely,Kolkata
527,34,Male,Married,Manager,10.7,286575,56,0.9,Partial,High,Diabetes,Medium,HR,5,3,Yes,Low,Medium,14,High,High,Medium,Average,7,Yes,Yes,Yes,Often,Pune
528,28,Female,Single,Developer,4.5,111323,47,2.9,Yes,Medium,Migraine,Small,Marketing,5.7,5,Yes,Medium,High,5,Medium,High,Low,Poor,8,Yes,No,No,Sometimes,Delhi
529,30,Male,Married,Analyst,7.6,57486,44,2.8,Partial,Low,None,Medium,Operations,5,4,Yes,Medium,High,20,Low,Low,Low,Poor,13,Yes,Yes,Yes,Sometimes,Delhi
530,32,Male,Single,Manager,1.9,222240,51,0.6,No,Medium,None,Small,Marketing,5,5,Yes,Medium,Medium,13,High,Medium,Medium,Poor,47,Yes,Yes,Yes,Often,Kolkata
531,57,Female,Single,CEO,20.4,553545,62,1.2,Partial,High,Hypertension,Small,HR,5,1,No,Low,High,13,Low,Low,Low,Excellent,32,No,No,No,Often,Kolkata
532,28,Other,Divorced,Designer,4.1,47699,47,1.1,Partial,Low,Migraine,Medium,Operations,5.5,5,Yes,High,Medium,6,Low,Medium,High,Excellent,18,Yes,Yes,Yes,Rarely,Hyderabad
533,33,Male,Divorced,Analyst,3.3,52291,45,2.6,Partial,Low,Migraine,Medium,HR,5,5,No,High,Medium,16,High,Low,Medium,Excellent,24,Yes,Yes,Yes,Sometimes,Delhi
534,25,Male,Married,Designer,0.7,40100,48,1.1,No,Low,Migraine,Small,Operations,6.5,5,No,Low,Medium,19,Low,Medium,Medium,Excellent,31,No,No,Yes,Rarely,Kolkata
535,23,Male,Single,Intern,2.7,19502,35,1.4,Partial,Low,None,Large,Operations,7.2,3,No,Medium,Medium,19,Medium,High,Medium,Excellent,8,Yes,Yes,Yes,Rarely,Pune
536,34,Male,Single,Manager,5.1,287694,50,2.5,Yes,Medium,None,Medium,Engineering,5,4,Yes,Low,Medium,7,High,Medium,Low,Average,8,Yes,Yes,No,Often,Bangalore
537,42,Male,Divorced,CEO,20,553341,67,0.8,Partial,High,Back Pain,Large,HR,5,1,Yes,Low,Medium,11,Low,Medium,Low,Poor,28,Yes,No,No,Often,Hyderabad
538,42,Male,Married,CEO,3.5,527744,70,1.8,Partial,Low,Back Pain,Small,Engineering,5,5,No,High,Medium,9,Medium,Low,Medium,Excellent,50,Yes,Yes,Yes,Often,Mumbai
539,48,Other,Married,CEO,4,561052,60,0.9,No,Low,Diabetes,Large,Engineering,5,5,Yes,Medium,Medium,18,High,Low,High,Excellent,17,Yes,No,No,Often,Kolkata
540,21,Female,Single,Intern,0.9,16765,33,1,No,Medium,None,Large,Operations,7.5,5,Yes,High,High,8,Medium,Medium,Low,Poor,31,Yes,No,Yes,Rarely,Kolkata
541,22,Male,Married,Developer,1.4,117013,47,0.8,No,Low,Migraine,Large,Engineering,6.2,5,No,Low,High,9,High,High,High,Excellent,41,Yes,Yes,No,Sometimes,Pune
542,45,Male,Married,CEO,18.4,528479,68,1.4,Partial,High,Hypertension,Small,HR,5,2,No,High,High,12,Low,High,Low,Average,39,No,No,Yes,Often,Pune
543,34,Female,Single,Analyst,13.9,57410,44,1.9,Partial,High,Arthritis,Medium,Marketing,5,3,No,Medium,High,10,High,Low,Low,Excellent,29,Yes,No,Yes,Sometimes,Bangalore
544,34,Female,Single,Designer,4,40002,41,0.8,No,Medium,None,Large,Operations,5,5,Yes,Low,High,16,High,High,Low,Poor,47,Yes,No,No,Rarely,Hyderabad
545,33,Female,Married,Designer,7.7,47214,45,2.2,Partial,Low,None,Medium,Engineering,5,4,No,Low,Medium,17,High,Low,Medium,Poor,50,No,No,Yes,Rarely,Mumbai
546,28,Male,Single,Analyst,1.2,51848,43,0.9,No,Low,None,Large,Engineering,6.5,5,Yes,Medium,High,11,Low,Medium,Medium,Good,2,Yes,No,No,Sometimes,Kolkata
547,27,Other,Married,Analyst,6,54444,44,0.6,Partial,Medium,Migraine,Large,Engineering,5.5,4,Yes,Low,High,5,Low,Low,High,Excellent,47,No,No,No,Sometimes,Hyderabad
548,35,Other,Married,Manager,12.5,275430,57,0.6,No,High,Hypertension,Large,Engineering,5,3,No,Low,Medium,5,Medium,Low,Medium,Average,23,Yes,No,Yes,Often,Kolkata
549,28,Female,Single,Analyst,1.3,49962,40,2.8,Yes,Medium,Migraine,Medium,HR,5.2,5,No,Medium,Medium,19,Low,Low,High,Average,21,No,Yes,No,Sometimes,Mumbai
550,50,Female,Divorced,CEO,24.1,537025,69,1,Partial,High,Back Pain,Small,HR,5,1,Yes,Medium,High,17,Medium,Medium,High,Good,27,No,Yes,Yes,Often,Hyderabad
551,52,Male,Married,CEO,12.1,568778,61,2.4,Yes,High,Arthritis,Medium,HR,5,3,Yes,Medium,High,15,Medium,High,Low,Average,49,No,Yes,Yes,Often,Bangalore
552,53,Female,Single,CEO,11.9,594755,61,2.2,Partial,High,Back Pain,Medium,Engineering,5,3,Yes,Low,High,12,Medium,Medium,Low,Excellent,22,Yes,No,Yes,Often,Mumbai
553,22,Male,Divorced,Developer,0.8,93313,40,1.1,Partial,Low,Migraine,Small,HR,6.2,5,Yes,High,Medium,14,Medium,High,High,Poor,44,Yes,Yes,No,Sometimes,Pune
554,22,Other,Single,Developer,1.4,105537,46,2.5,Yes,Medium,Migraine,Large,HR,5,5,Yes,Medium,High,11,Low,Low,High,Poor,6,Yes,No,Yes,Sometimes,Bangalore
555,44,Female,Divorced,CEO,11,596454,66,1.3,Partial,High,Hypertension,Medium,Operations,5,3,Yes,High,Medium,19,Medium,Medium,Medium,Average,23,No,Yes,Yes,Often,Pune
556,31,Female,Married,Designer,8.3,52787,43,2.1,Partial,Medium,None,Medium,Operations,5,4,No,Low,Medium,9,Low,Medium,Medium,Poor,43,No,No,Yes,Rarely,Bangalore
557,25,Other,Married,Developer,4.1,97452,40,0.8,Partial,Medium,None,Medium,Marketing,5.5,5,Yes,High,Medium,13,High,Medium,Medium,Poor,18,No,No,Yes,Sometimes,Hyderabad
558,52,Male,Divorced,CEO,19.9,540405,67,2,Partial,High,Arthritis,Large,Marketing,5,2,No,High,Medium,11,High,High,Low,Excellent,30,Yes,No,Yes,Often,Mumbai
559,42,Female,Married,Manager,12.8,271322,58,1.4,No,High,Diabetes,Large,HR,5,3,No,High,High,11,Medium,High,Low,Excellent,4,Yes,Yes,No,Often,Hyderabad
560,22,Female,Married,Intern,1.1,16127,29,2.7,Yes,Medium,None,Large,Operations,6,3,Yes,Medium,Medium,10,Medium,Medium,Low,Poor,46,Yes,Yes,No,Rarely,Bangalore
561,25,Male,Divorced,Developer,2.2,100881,40,1,Partial,Medium,Migraine,Small,Engineering,6.2,5,No,Medium,High,13,Medium,Medium,High,Average,41,No,Yes,Yes,Sometimes,Pune
562,45,Other,Single,Manager,19.2,213642,54,0.7,No,High,Back Pain,Medium,Engineering,5,2,Yes,High,High,8,Medium,Low,Low,Excellent,10,Yes,Yes,Yes,Often,Hyderabad
563,29,Female,Divorced,Analyst,4.3,54617,42,1.6,Partial,Medium,Migraine,Small,HR,5.2,5,Yes,Low,Medium,13,Low,High,Low,Poor,20,No,Yes,No,Sometimes,Mumbai
564,52,Female,Single,CEO,20.8,524556,66,0.9,Partial,High,Arthritis,Medium,Engineering,5,1,No,High,High,5,Low,High,Low,Excellent,27,No,No,Yes,Often,Kolkata
565,22,Female,Single,Developer,1.5,102168,46,1.4,No,Medium,Migraine,Small,Operations,6.2,5,Yes,Low,Medium,12,Low,High,Low,Good,31,No,Yes,No,Sometimes,Pune
566,24,Other,Divorced,Intern,3.2,19481,31,3,Yes,Low,None,Large,Marketing,6.2,4,Yes,Medium,Medium,16,Medium,High,Low,Average,23,No,No,Yes,Rarely,Mumbai
567,48,Female,Divorced,CEO,9,524134,65,1.4,No,Medium,None,Medium,Engineering,5,4,Yes,Low,High,16,Medium,Medium,High,Excellent,2,Yes,No,No,Often,Kolkata
568,26,Female,Divorced,Designer,1.4,43663,45,1,No,Low,Migraine,Medium,Marketing,6.5,5,No,Medium,Medium,12,High,Medium,Low,Average,2,No,No,Yes,Rarely,Kolkata
569,31,Female,Single,Analyst,4.8,56331,43,2.8,Partial,Medium,None,Large,HR,5,5,Yes,Low,High,7,Low,Medium,High,Excellent,49,Yes,No,Yes,Sometimes,Delhi
570,23,Other,Divorced,Developer,0.7,117287,46,1,No,Low,None,Medium,Operations,6.5,5,No,Medium,Medium,5,Low,Medium,High,Average,31,No,Yes,Yes,Sometimes,Kolkata
571,25,Male,Married,Developer,2.7,81088,48,2.7,Yes,Medium,Migraine,Large,Marketing,5.7,5,No,Low,High,13,Low,High,Medium,Average,40,No,No,No,Sometimes,Delhi
572,35,Female,Single,Manager,14.3,272017,59,1.4,No,High,Diabetes,Medium,Engineering,5,3,No,Low,Medium,5,High,High,Low,Good,43,Yes,No,No,Often,Kolkata
573,50,Other,Single,CEO,16.5,575968,66,0.7,Partial,High,Back Pain,Small,Marketing,5,2,Yes,Low,High,18,Medium,Medium,Low,Excellent,34,Yes,Yes,Yes,Often,Kolkata
574,34,Male,Divorced,Designer,6,48577,40,1.7,Yes,Medium,None,Large,Operations,5,4,No,Low,Medium,19,Low,Medium,Low,Average,10,Yes,No,Yes,Rarely,Delhi
575,28,Female,Single,Analyst,4.8,54065,43,2.1,Partial,Low,None,Small,HR,5,5,No,High,Medium,11,Low,Low,High,Poor,24,No,No,No,Sometimes,Bangalore
576,40,Female,Divorced,CEO,6.7,542492,60,0.6,No,Low,Diabetes,Large,HR,5,4,No,High,Medium,19,Medium,High,Medium,Good,44,No,Yes,Yes,Often,Pune
577,23,Other,Divorced,Intern,0.6,16715,25,0.8,Partial,Low,None,Large,HR,7.5,5,No,High,High,14,Medium,Medium,Low,Poor,14,Yes,Yes,No,Rarely,Kolkata
578,34,Male,Single,Analyst,5.5,49021,43,2.6,Yes,Low,Migraine,Small,Operations,5,4,Yes,High,High,17,Low,Low,Medium,Excellent,24,Yes,Yes,Yes,Sometimes,Bangalore
579,23,Other,Divorced,Developer,2.2,113531,43,2.9,Partial,Low,None,Large,Marketing,5.7,5,No,Low,Medium,11,Low,Medium,Low,Average,39,Yes,Yes,Yes,Sometimes,Delhi
580,26,Female,Divorced,Analyst,5.9,57246,42,1.6,Partial,Medium,None,Small,HR,5,4,No,Medium,Medium,17,Medium,Low,Low,Average,28,Yes,No,No,Sometimes,Bangalore
581,28,Female,Married,Analyst,2.6,55329,43,3,Yes,Medium,None,Small,HR,5.7,5,Yes,Low,High,6,Medium,Medium,High,Good,31,No,No,Yes,Sometimes,Delhi
582,25,Other,Divorced,Developer,4.4,91574,44,2.6,Yes,Low,None,Medium,HR,5.2,5,No,Medium,Medium,14,Medium,Medium,Low,Good,31,Yes,No,Yes,Sometimes,Mumbai
583,40,Other,Divorced,CEO,6.3,521674,70,2.1,Yes,Medium,Diabetes,Small,HR,5,4,No,High,High,6,Medium,Low,Low,Poor,2,Yes,No,Yes,Often,Mumbai
584,25,Female,Divorced,Developer,1.8,94587,45,1.7,Yes,Low,Migraine,Small,Engineering,5.7,5,No,Low,Medium,17,Low,Low,Medium,Good,25,No,Yes,No,Sometimes,Delhi
585,47,Other,Married,CEO,14.7,587763,64,1.2,Partial,High,Diabetes,Large,HR,5,3,No,Medium,High,20,Low,High,Medium,Average,33,Yes,Yes,Yes,Often,Pune
586,57,Male,Divorced,CEO,25,504967,69,1.6,Yes,High,Back Pain,Large,Operations,5,1,No,Low,Medium,16,High,Low,Low,Excellent,22,Yes,No,No,Often,Delhi
587,32,Male,Divorced,Designer,2.9,40586,43,1.8,Partial,Medium,None,Small,HR,5,5,No,High,Medium,10,High,Low,High,Poor,43,Yes,No,No,Rarely,Mumbai
588,24,Male,Single,Intern,2.3,15816,29,1.3,No,Low,None,Medium,Engineering,7.5,5,No,High,Medium,11,Medium,High,High,Poor,48,Yes,No,Yes,Rarely,Kolkata
589,34,Other,Divorced,Manager,6.3,299112,59,0.8,No,Low,None,Large,Operations,5,4,No,High,Medium,5,Medium,High,Low,Average,31,Yes,No,Yes,Often,Hyderabad
590,31,Female,Divorced,Manager,10.9,295577,50,2.4,Yes,High,Back Pain,Large,Engineering,5,3,No,High,Medium,13,Medium,Medium,High,Excellent,31,Yes,No,No,Often,Mumbai
591,37,Other,Married,Manager,14.2,299697,53,1.5,Partial,High,Diabetes,Small,Engineering,5,3,No,Low,Medium,5,Low,High,High,Good,3,No,Yes,No,Often,Pune
592,20,Other,Single,Intern,0.3,19150,33,2,Partial,Low,Migraine,Large,Operations,6.2,3,No,Medium,Medium,16,High,Low,Low,Good,30,Yes,Yes,Yes,Rarely,Mumbai
593,33,Other,Married,Designer,7.6,46282,40,1,Partial,Low,None,Large,Operations,5,4,Yes,Medium,High,8,Low,Low,High,Poor,8,No,Yes,Yes,Rarely,Hyderabad
594,24,Male,Married,Intern,0.6,18850,25,2.2,Yes,Low,Migraine,Small,Marketing,6.2,5,Yes,Low,Medium,12,High,Low,Low,Average,39,No,No,No,Rarely,Mumbai
595,25,Other,Single,Developer,2.7,96402,44,1.3,Partial,Medium,None,Small,Marketing,6.2,5,Yes,High,High,18,High,Low,High,Excellent,10,No,No,No,Sometimes,Pune
596,30,Female,Divorced,Analyst,0.8,47355,43,1.1,No,Medium,Migraine,Large,Marketing,5.5,5,Yes,High,High,11,High,High,High,Excellent,28,No,Yes,No,Sometimes,Kolkata
597,45,Other,Single,CEO,1.6,542409,66,2.6,Partial,Low,Diabetes,Large,Operations,5,5,Yes,Low,Medium,9,Low,High,Low,Poor,41,Yes,No,No,Often,Bangalore
598,24,Male,Divorced,Intern,3.8,17887,25,2,Yes,Medium,Migraine,Small,Operations,6.7,3,Yes,High,Medium,5,Medium,High,High,Poor,33,Yes,No,No,Rarely,Delhi
599,25,Male,Married,Intern,2.9,16525,28,1.6,Yes,Medium,Migraine,Large,HR,6.2,5,Yes,Medium,High,10,Medium,Medium,Medium,Good,31,No,Yes,No,Rarely,Mumbai
600,42,Other,Married,Manager,18.8,261148,52,1.3,No,High,Back Pain,Large,HR,5,2,Yes,High,High,13,Low,Medium,High,Poor,34,Yes,Yes,No,Often,Hyderabad
601,29,Other,Married,Analyst,0.5,49557,44,2.8,Yes,Low,None,Medium,HR,5.7,5,No,Low,High,7,High,Low,High,Good,14,No,No,No,Sometimes,Delhi
602,31,Other,Married,Manager,8.3,286080,57,1.4,No,Medium,None,Medium,Operations,5,4,No,Low,High,19,Low,Low,High,Average,22,Yes,No,No,Often,Pune
603,41,Female,Divorced,Manager,20.8,293993,52,1.6,Yes,High,Arthritis,Small,HR,5,1,Yes,Medium,Medium,8,Medium,High,High,Average,45,No,Yes,No,Often,Mumbai
604,34,Female,Divorced,Analyst,5.5,59915,43,1.3,Partial,Low,Migraine,Medium,Operations,5,4,No,High,Medium,11,Low,High,High,Average,42,No,No,No,Sometimes,Hyderabad
605,23,Female,Married,Intern,0.6,17713,28,2.6,Partial,Medium,Migraine,Small,Engineering,6.2,4,No,Medium,Medium,6,High,High,High,Poor,17,Yes,Yes,Yes,Rarely,Mumbai
606,26,Male,Divorced,Developer,2.7,99157,41,0.8,Partial,Low,None,Small,HR,6.5,5,Yes,High,Medium,13,Low,High,Medium,Poor,32,Yes,No,No,Sometimes,Kolkata
607,32,Female,Single,Designer,1.8,48411,45,2.7,Yes,Low,Migraine,Small,HR,5,5,No,High,High,5,Medium,Medium,Low,Poor,25,Yes,Yes,No,Rarely,Mumbai
608,48,Other,Single,CEO,19.9,582925,61,0.6,Partial,High,Hypertension,Large,HR,5,2,No,Medium,High,18,High,Low,High,Excellent,33,Yes,Yes,No,Often,Pune
609,24,Male,Single,Intern,4,19364,34,0.5,No,Medium,Migraine,Medium,Marketing,7.5,4,Yes,Low,High,16,Low,Medium,Low,Good,7,Yes,No,Yes,Rarely,Kolkata
610,21,Female,Married,Intern,1,19198,31,0.5,No,Medium,None,Medium,Engineering,7.2,4,No,Low,High,9,Medium,High,Low,Poor,4,No,No,No,Rarely,Pune
611,25,Female,Divorced,Analyst,3.7,50560,45,2.1,Yes,Low,Migraine,Small,Operations,5,5,No,Medium,High,16,Medium,Low,Low,Average,32,No,Yes,No,Sometimes,Bangalore
612,23,Other,Married,Intern,2.3,15289,30,1.3,Partial,Low,None,Medium,Operations,7.2,4,No,High,Medium,15,High,High,Low,Excellent,8,Yes,Yes,No,Rarely,Pune
613,30,Female,Married,Manager,7.2,213459,58,1,No,Low,None,Large,Marketing,5,4,No,Medium,Medium,13,Low,Medium,Low,Average,37,No,No,Yes,Often,Kolkata
614,21,Other,Single,Intern,0.9,18019,26,1.7,Yes,Low,None,Large,Operations,6.7,3,No,High,High,14,Low,Low,Low,Poor,45,Yes,Yes,No,Rarely,Delhi
615,58,Female,Divorced,CEO,26.4,532315,61,1.4,Partial,High,Back Pain,Small,HR,5,1,No,High,Medium,9,Low,High,Medium,Average,39,Yes,No,No,Often,Hyderabad
616,30,Female,Divorced,Designer,0.9,41284,46,1.5,Partial,Low,None,Small,Engineering,5.2,5,No,Low,High,8,Low,Medium,Medium,Poor,39,No,Yes,Yes,Rarely,Pune
617,55,Other,Single,CEO,1.3,536301,63,1.5,Partial,Medium,Hypertension,Small,Engineering,5,5,Yes,Low,Medium,12,Medium,Low,Low,Average,24,Yes,Yes,No,Often,Hyderabad
618,23,Male,Divorced,Intern,2.8,17196,34,1.5,No,Medium,None,Small,Marketing,7.5,4,No,Low,High,16,High,Medium,High,Excellent,25,No,Yes,Yes,Rarely,Kolkata
619,23,Female,Single,Intern,0.6,17887,34,0.9,No,Medium,None,Medium,HR,7.5,5,Yes,Low,Medium,17,Medium,Medium,Medium,Excellent,50,Yes,No,Yes,Rarely,Kolkata
620,24,Female,Married,Developer,1.1,109145,48,0.8,Partial,Medium,None,Large,HR,5.5,5,No,Low,High,20,Low,High,Low,Poor,27,Yes,Yes,Yes,Sometimes,Hyderabad
621,28,Female,Divorced,Designer,1.8,53288,40,1.8,Yes,Low,None,Large,HR,5.2,5,No,Low,High,8,Medium,Medium,High,Poor,22,Yes,No,Yes,Rarely,Mumbai
622,32,Female,Divorced,Designer,6.7,45848,44,1.5,Partial,Medium,None,Large,HR,5,4,Yes,High,High,8,Medium,Low,Medium,Good,28,No,Yes,No,Rarely,Hyderabad
623,46,Female,Divorced,CEO,4.9,578637,69,0.8,No,Low,Hypertension,Medium,Operations,5,5,No,High,Medium,7,Medium,Low,Low,Good,5,Yes,Yes,Yes,Often,Pune
624,25,Other,Divorced,Analyst,0.7,54837,45,1.8,Yes,Medium,None,Medium,Operations,5,5,Yes,Medium,Medium,8,High,High,Low,Excellent,42,No,Yes,No,Sometimes,Bangalore
625,29,Male,Married,Designer,2.4,48964,41,0.5,No,Low,None,Medium,Engineering,5.5,5,No,Medium,High,11,Low,Medium,Medium,Good,16,No,No,No,Rarely,Hyderabad
626,32,Male,Married,Manager,6.6,227987,50,0.8,No,Medium,Migraine,Medium,Operations,5,4,No,High,High,17,Medium,Low,High,Good,39,No,Yes,Yes,Often,Kolkata
627,27,Other,Married,Analyst,6.1,48501,42,1.1,Partial,Medium,None,Large,Marketing,6.2,4,No,Medium,Medium,6,Medium,Medium,Low,Poor,24,No,No,No,Sometimes,Pune
628,45,Other,Married,CEO,13.9,595869,60,0.6,Partial,High,Hypertension,Small,Operations,5,3,No,Medium,Medium,12,Low,High,High,Average,13,No,No,No,Often,Hyderabad
629,35,Female,Married,Designer,13.6,51306,50,2.5,Yes,High,Arthritis,Medium,HR,5,3,Yes,High,Medium,5,Medium,High,Medium,Poor,41,Yes,Yes,Yes,Rarely,Bangalore
630,24,Male,Divorced,Intern,3.7,19784,26,2.7,Partial,Low,None,Medium,HR,6,5,No,Low,Medium,15,High,High,Medium,Average,36,Yes,Yes,Yes,Rarely,Bangalore
631,39,Other,Divorced,Manager,6.9,243680,50,1.2,No,Medium,None,Small,Engineering,5,4,No,Low,High,19,Low,Low,Low,Average,8,No,Yes,Yes,Often,Hyderabad
632,41,Female,Single,Manager,18.4,249732,57,1.8,Yes,High,Arthritis,Medium,Engineering,5,2,Yes,Low,Medium,12,Low,High,High,Average,8,Yes,No,Yes,Often,Mumbai
633,43,Female,Married,Manager,11,226234,56,0.8,No,High,Diabetes,Medium,Marketing,5,3,No,Medium,Medium,13,High,High,High,Average,45,Yes,Yes,Yes,Often,Kolkata
634,23,Female,Single,Intern,2.6,15029,26,1.4,No,Medium,Migraine,Medium,HR,7.2,3,No,High,Medium,17,Low,Low,Low,Poor,38,No,No,No,Rarely,Pune
635,23,Other,Divorced,Intern,2,18482,33,1.3,No,Medium,None,Small,HR,6.5,5,No,High,Medium,17,High,Low,Low,Average,33,Yes,Yes,Yes,Rarely,Hyderabad
636,52,Female,Single,CEO,17.8,568339,60,1.1,Partial,High,Arthritis,Small,HR,5,2,No,Low,Medium,8,Low,Medium,Medium,Excellent,36,Yes,Yes,Yes,Often,Hyderabad
637,28,Other,Divorced,Designer,6.2,44310,47,1.4,No,Medium,Migraine,Small,Marketing,6.2,4,Yes,Medium,High,7,High,Medium,Low,Average,33,No,Yes,No,Rarely,Pune
638,26,Other,Married,Designer,5.1,45764,47,1.3,Partial,Medium,None,Large,Marketing,5.5,4,No,High,Medium,11,Medium,High,High,Average,29,Yes,Yes,Yes,Rarely,Hyderabad
639,24,Female,Married,Developer,2.6,85030,42,2.5,Yes,Low,Migraine,Small,Marketing,5.2,5,Yes,High,High,8,Medium,Medium,Low,Excellent,29,Yes,Yes,Yes,Sometimes,Mumbai
